company_id,name,sector,cagr,sfr,margin,investing_score
1653,Expeditors,Marketplaces & gig platforms,0.3523675474483421,,0.09338534705503483,0.6383269166230915
1656,Salesforce,Enterprise / ERP / HRM,0.6372488081404135,0.9699888017917133,0.16348331571795258,0.7025960265562979
1663,HomeStreet Bank,Fintech & payments,,,0.16672553867891204,0.9431660580099137
1664,Sinclair Broadcast Group,Advertising & attention,,,0.6205962059620597,1.0
1708,Trupanion,Fintech & payments,0.7325567069436003,,0.023114746827927683,0.8407555423660639
1724,Lyft,Marketplaces & gig platforms,0.24845018473806668,-0.3087283830844129,-0.044223929994665956,0.5048152686674894
1728,Adaptive Biotechnologies Corp.,GovTech / RegTech / MedTech,0.35077150320212236,-1.2895702667309945,-0.9926446780495176,0.4710036321863124
1731,ImmunityBio,GovTech / RegTech / MedTech,3.2085910738316654,-0.7762326621010625,-441.1881028938907,0.4887588839153308
1741,Porch Group,Enterprise / ERP / HRM,0.44277418170444105,,-0.1524426683572984,0.6720937851423984
1743,"Immunome, Inc.",GovTech / RegTech / MedTech,,-0.8599574769666903,-1.4418649231764193,0.4973854260220145
1808,CoStar Group,Marketplaces & gig platforms,0.5752055050599547,,0.2227391862170088,0.7676708596173833
1824,Snowflake,Developer tooling,0.8043993587781677,-0.2178775630250713,-0.08339311864250923,0.7176987180363107
1828,Coupang,E-commerce platforms,0.26109130973360584,,-0.0011026861077433926,0.5827436370720015
1830,Sonos,Smartphones & OS,0.4537987223851976,0.5243265327410704,0.24084308311737357,0.6219806100021832
1831,Okta,Cybersecurity & identity,0.40179440254838417,0.11855650319829425,0.042771538461538465,0.580597600871643
1840,"Sana Biotechnology, Inc.",GovTech / RegTech / MedTech,,-0.720784525906764,,0.30173108735046594
1854,Pinterest,Advertising & attention,0.21148155050811912,0.030375771881388437,0.01028554464574352,0.5038961139516387
1857,Rockwell Automation,Enterprise / ERP / HRM,0.5146861838230505,2.541392606033114,0.14438688727385188,0.7049739762358685
1862,DoorDash,Marketplaces & gig platforms,0.3883369073420937,0.3039806996381182,0.03422868867748555,0.5809847243003419
1866,RealNetworks,AI assistants & copilots,,-0.7515498257614365,-0.27779264380275537,0.5882957206555129
1870,Cloudera,Enterprise / ERP / HRM,,-0.010098921325409252,-0.08010657772986134,0.641994491831764
1892,Duolingo,E-learning & skill platforms,0.4665742787019824,0.14412400517777885,0.059269407285879226,0.6068033371521526
1893,Robinhood,Fintech & payments,0.3248018475596335,0.17054488689144454,0.2027730091961169,0.5599518902433146
1901,Expedia Group,Marketplaces & gig platforms,0.9640920410206733,,0.29192304696627464,0.9834945038625788
1904,Digital Turbine,Advertising & attention,0.5745166416314589,0.8534103265160018,0.06813432171244888,0.6708188990895173
1914,Zillow,E-commerce platforms,0.08323190635604738,0.011882716049382716,0.0023706896551724138,0.4541210058936408
1920,Best Buy,E-commerce platforms,0.048188769856411406,,0.060803135458336544,0.47079996891011083
1928,Brightcove,Subscription content,,0.30561810651408816,0.07236638555388891,0.6698571153502219
